306|11
304|468
230|75
278|65
331|101
289|131
243|123
260|157
303|173
352|152
361|220
390|187
410|145
381|118
386|74
347|62
175|111
201|160
177|226
246|247
230|200
288|214
314|265
245|301
321|320
375|281
430|248
447|196
454|281
429|317
385|342
344|366
284|379
252|348
192|348
195|305
152|283
146|171
144|132
113|191
113|246
93|295
130|330
118|372
156|391
173|436
212|406
232|453
280|423
352|428
367|467
439|467
509|468
514|426
470|423
431|406
481|361
550|384
561|450
549|300
546|205
540|135
541|59
445|43
493|115
196|26
109|29
57|29
48|113
38|190
33|263
38|358
40|421
115|477
109|423
103|77
169|66
439|103
494|171
504|255
519|13
504|308
77|336
72|221
90|130
28|53
391|21
16|144
23|459
390|381
442|360
335|188
494|216
568|255
569|353
26|310
79|387
249|14
495|61
402|434

16|38
2|16
3|2
15|3
14|15
77|14
17|38
6|17
4|6
13|4
12|13
77|12
97|0
86|0
65|97
66|65
80|86
67|66
85|67
87|85
62|80
61|62
60|61
93|60
59|93
94|59
57|94
58|57
52|58
51|52
50|51
1|50
69|87
70|69
95|70
71|95
72|71
88|72
73|88
1|73
20|18
20|7
5|7
9|5
11|9
26|11
19|18
21|19
8|21
91|8
10|91
25|10
26|25
27|77
26|27
37|38
18|37
76|66
16|76
2|65
3|97
15|86
63|14
80|63
98|77
62|98
75|38
85|75
83|68
84|68
39|84
36|39
35|36
23|35
22|23
24|22
30|24
29|30
28|29
79|28
64|27
64|61
78|27
60|78
92|26
93|92
40|83
41|40
82|41
96|82
74|96
45|74
47|45
48|47
49|48
99|49
55|99
54|55
53|54
56|53
81|56
79|81
84|83
39|83
40|39
36|40
41|36
42|41
42|82
36|42
82|43
42|43
96|43
74|43
35|42
34|35
42|34
44|42
74|44
45|44
34|44
46|34
44|46
46|45
47|46
23|34
33|23
34|33
33|46
24|23
33|24
32|33
24|32
32|46
46|48
32|48
31|32
49|31
30|31
49|32
89|31
30|89
90|29
30|90
90|89
81|28
81|29
81|90
56|90
49|89
99|89
89|55
90|55
56|55
54|56
74|72
57|53
1|47
1|48
49|1
99|1
