561|25
17|472
267|222
278|250
294|229
303|255
321|237
318|210
288|195
256|195
247|225
251|260
273|275
299|287
325|278
341|261
354|239
350|214
338|183
313|176
290|167
269|168
244|174
231|196
228|215
227|242
229|271
245|295
273|310
304|319
332|309
353|293
368|273
382|251
385|225
370|198
372|93
396|112
417|130
439|151
457|178
401|86
424|109
447|128
469|153
410|49
431|77
457|100
479|124
506|145
117|383
100|360
121|347
147|368
150|396
129|419
104|417
85|395
77|366
86|336
178|387
181|418
164|428
150|447
125|446
61|388
56|351
168|136
195|152
416|302

0|45
0|49
1|66
1|65
1|64
2|10
2|8
2|4
2|11
3|4
3|11
3|5
3|12
4|7
4|6
5|6
5|14
5|12
5|13
6|17
6|16
6|15
6|14
7|8
7|19
7|18
7|17
8|19
8|20
8|21
8|22
8|9
9|22
9|23
9|10
10|24
11|25
11|12
11|26
11|27
12|13
12|28
13|14
13|30
13|29
14|15
14|31
15|16
15|32
16|33
16|17
17|18
17|35
17|34
18|19
18|35
18|39
19|20
19|38
20|21
20|38
21|22
22|23
23|24
24|25
24|52
25|26
25|52
25|53
26|27
26|53
26|60
27|28
28|29
28|60
29|30
29|60
30|31
31|32
32|33
33|34
34|35
34|39
35|39
36|41
36|37
36|67
37|38
37|41
37|42
37|68
38|39
38|42
38|43
38|68
39|40
39|43
39|44
40|44
40|69
41|45
41|46
41|42
42|46
42|47
42|43
43|47
43|48
43|44
44|48
44|49
45|46
46|47
47|48
48|49
50|52
50|53
50|51
50|54
51|59
51|52
51|58
51|57
52|59
52|53
53|60
53|54
54|60
54|61
54|55
54|62
55|56
55|62
56|57
56|64
57|58
57|65
58|66
58|59
58|65
59|66
59|67
59|68
60|61
60|69
61|62
62|63
63|64
